station_id,station_name,station_number
767.0,"Santos Road, Wandsworth",200177
372.0,"Sardinia Street, Holborn",002649
481.0,"Saunders Ness Road, Cubitt Town",200022
13.0,"Scala Street, Fitzrovia",000970
839.0,"Sea Containers, South Bank",200144
5.0,"Sedding Street, Sloane Square",003420
565.0,"Selby Street, Whitechapel",200135
300.0,"Serpentine Car Park, Hyde Park",001217
166.0,"Seville Street, Knightsbridge",001177
605.0,"Seymour Place, Marylebone",200198
449.0,"Shadwell Station, Shadwell",200020
632.0,"Sheepcote Lane, Battersea",200176
667.0,"Shepherd's Bush Road North, Shepherd's Bush",200209
698.0,"Shoreditch Court, Haggerston",200121
39.0,"Shoreditch High Street, Shoreditch",003445
253.0,"Shoreditch Park, Hoxton",001051
396.0,"Shouldham Street, Marylebone",002693
830.0,"Sidney Road, Stockwell",300229
640.0,"Silverthorne Road, Battersea",200179
653.0,"Simpson Street, Clapham Junction",200196
740.0,"Sirdar Road, Avondale",300084
163.0,"Sloane Avenue, Knightsbridge",003461
281.0,"Smith Square, Westminster",003480
665.0,"Smugglers Way, Wandsworth",200113
393.0,"Snow Hill, Farringdon",002699
706.0,"Snowsfields, London Bridge",200193
109.0,"Soho Square , Soho",001052
564.0,"Somerset House, Strand",200068
800.0,"Sopwith Way, Battersea Park",300248
289.0,"South Audley Street, Mayfair",003493
,"South Bermondsey Station, Bermondsey",300062
356.0,"South Kensington Station, South Kensington",002685
600.0,"South Lambeth Road, Vauxhall",200133
430.0,"South Parade, Chelsea",022182
636.0,"South Park, Sands End",200180
494.0,"South Quay East, Canary Wharf",200233
186.0,"South Wharf Road, Paddington",001167
162.0,"Southampton Place, Holborn",001123
388.0,"Southampton Street, Strand",001228
467.0,"Southern Grove, Bow",200168
598.0,"Southerton Road, Hammersmith",200166
420.0,"Southwark Station 1, Southwark",022162
421.0,"Southwark Station 2, Southwark",022163
803.0,"Southwark Street, Bankside",300238
265.0,"Southwick Street, Paddington",003490
689.0,"Spanish Road, Clapham Junction",200106
637.0,"Spencer Park, Wandsworth Common",200191
477.0,"Spindrift Avenue, Millwall",200018
831.0,"St John's Crescent, Brixton",300215
604.0,"St Martins Close, Camden Town",200195
290.0,"St Mary's Hospital, Paddington",003496
703.0,"St. Bride Street, Holborn",200094
4.0,"St. Chad's Street, King's Cross",001013
349.0,"St. George Street, Mayfair",001221
294.0,"St. George's Square, Pimlico",001195
228.0,"St. James's Square, St. James's",001067
123.0,"St. John Street, Finsbury",000992
504.0,"St. John's Park, Cubitt Town",200243
764.0,"St. John's Road, Clapham Junction",200185
247.0,"St. John's Wood Church, The Regent's Park",001091
286.0,"St. John's Wood Road, St. John's Wood",001187
452.0,"St. Katharine's Way, Tower",200049
218.0,"St. Luke's Church, Chelsea",003486
650.0,"St. Mark's Road, North Kensington",300034
325.0,"St. Martin's Street, West End",001158
464.0,"St. Mary & St. Michael Church, Stepney",200082
263.0,"St. Mary Axe, Aldgate",001184
729.0,"St. Peter's Terrace, Fulham",300043
716.0,"Stainsby Road , Poplar",300048
197.0,"Stamford Street, South Bank",000962
380.0,"Stanhope Gate, Mayfair",003506
690.0,"Stanley Grove, Battersea",200199
720.0,"Star Road, West Kensington",300038
476.0,"Stebondale Street, Cubitt Town",200009
723.0,"Stephendale Road, Sands End",300053
478.0,"Stepney Green Station, Stepney",200012
714.0,"Stewart's Road, Wandsworth Road",300055
808.0,"Stockwell Roundabout, Stockwell",
112.0,"Stonecutter Street, Holborn",001061
364.0,"Store Street, Bloomsbury",003507
762.0,"Storey's Gate, Westminster",200202
174.0,"Strand, Strand",001100
,"Strand, Strand_OLD",001100444
409.0,"Strata, Elephant & Castle",010624
790.0,"Stratford Station, Stratford",300234
609.0,"Sugden Road, Clapham",200208
172.0,"Sumner Place, South Kensington",001124
408.0,"Sun Street, Liverpool Street",001129
620.0,"Surrey Lane, Battersea",300010
511.0,"Sutton Street, Shadwell",200256
295.0,"Swan Street, The Borough",001216
148.0,"Tachbrook Street, Victoria",000965
773.0,"Tallis Street, Temple",300096
85.0,"Tanner Street, Bermondsey",000994
810.0,"Tate Modern, Bankside",300237
89.0,"Tavistock Place, Bloomsbury",003439
335.0,"Tavistock Street, Covent Garden",001207
19.0,"Taviton Street, Bloomsbury",001009
842.0,"Temple Gardens, Temple",300250
669.0,"Teversham Lane, Stockwell",300036
519.0,"Teviot Street, Poplar",200254
,"The Blue, Bermondsey",300059
120.0,"The Guildhall, Guildhall",001044
805.0,"The Metropolitan, Portobello",300244
315.0,"The Tennis Courts, The Regent's Park",001199
755.0,"The Vale, Chelsea",300058
68.0,"Theobald's Road , Holborn",000975
651.0,"Thorndike Close, West Chelsea",300030
,"Thurtle Road, Haggerston",200093
463.0,"Thurtle road, Haggerston",
787.0,"Timber Lodge, Queen Elizabeth Olympic Park",300227
278.0,"Tooley Street, Bermondsey",001142
75.0,"Torrens Street, Angel",001060
130.0,"Tower Gardens , Tower",001071
841.0,"Tower Wharf, Bermondsey",002667
158.0,"Trebovir Road, Earl's Court",001113
248.0,"Triangle Car Park, Hyde Park",001088
379.0,"Turquoise Island, Notting Hill",002682
531.0,"Twig Folly Bridge, Mile End",200167
314.0,"Tyers Gate, Bermondsey",003485
264.0,"Tysoe Street, Clerkenwell",001146
602.0,"Union Grove, Wandsworth Road",200211
196.0,"Union Street, The Borough",000961
745.0,"Upcerne Road, West Chelsea",300075
570.0,"Upper Bank Street, Canary Wharf",200099
389.0,"Upper Grosvenor Street, Mayfair",010621
705.0,"Upper Richmond Road, Putney",300042
675.0,"Usk Road, Clapham Junction",200126
146.0,"Vauxhall Bridge , Pimlico",001046
74.0,"Vauxhall Cross, Vauxhall",001000
352.0,"Vauxhall Street, Vauxhall",001224
437.0,"Vauxhall Walk, Vauxhall",200056
633.0,"Vereker Road, West Kensington",200116
701.0,"Vicarage Crescent, Battersea",200077
103.0,"Vicarage Gate, Kensington",003441
781.0,"Victoria & Albert Museum, South Kensington",300032
719.0,"Victoria Park Road, Hackney Central",300011
794.0,"Victoria Rise, Clapham Common",300204
820.0,"Victory Place, Walworth",300239
299.0,"Vincent Square, Westminster",001196
426.0,"Vincent Street, Pimlico",022161
442.0,"Walmer Road, Avondale",200035
91.0,"Walnut Tree Walk, Vauxhall",001076
725.0,"Walworth Square, Walworth",300050
612.0,"Wandsworth Rd, Isley Court, Wandsworth Road",200175
621.0,"Wandsworth Town Station, Wandsworth",200091
134.0,"Wapping High Street, Wapping",001039
458.0,"Wapping Lane, Wapping",200034
192.0,"Wardour Street, Soho",001163
239.0,"Warren Street Station, Euston",001090
47.0,"Warwick Avenue Station, Maida Vale",001027
274.0,"Warwick Road, Olympia",001134
316.0,"Warwick Row, Westminster",000968
178.0,"Warwick Square, Pimlico",003460
377.0,"Waterloo Bridge, South Bank",002648
160.0,"Waterloo Place, St. James's",003458
173.0,"Waterloo Road, South Bank",001176
374.0,"Waterloo Station 1, Waterloo",002696
361.0,"Waterloo Station 2, Waterloo",002692
154.0,"Waterloo Station 3, Waterloo",001072
513.0,"Watney Market, Stepney",200162
552.0,"Watney Street, Shadwell",200149
80.0,"Webber Street , Southwark",003448
213.0,"Wellington Arch, Hyde Park",001109
110.0,"Wellington Road, St. John's Wood",001055
533.0,"Wellington Row, Bethnal Green",200165
338.0,"Wellington Street , Strand",001202
313.0,"Wells Street, Fitzrovia",003495
721.0,"Wendon Street, Old Ford",300039
42.0,"Wenlock Road , Hoxton",000979
142.0,"West Cromwell Road, Earl's Court",001001
660.0,"West Kensington Station, West Kensington",300020
203.0,"West Smithfield Rotunda, Farringdon",001040
105.0,"Westbourne Grove, Bayswater",001041
758.0,"Westbourne Park Road, Portobello",300057
680.0,"Westbridge Road, Battersea",200210
811.0,"Westferry Circus, Canary Wharf",300228
510.0,"Westferry DLR, Limehouse",200238
566.0,"Westfield Ariel Way, White City",200141
591.0,"Westfield Library Corner, Shepherd's Bush",200227
571.0,"Westfield Southern Terrace ,Shepherd's Bush",200061
548.0,"Westminster Bridge Road, Elephant & Castle",200076
818.0,"Westminster Pier, Westminster",300249
257.0,"Westminster University, Marylebone",001194
466.0,"Whiston Road, Haggerston",200158
229.0,"Whitehall Place, Strand",001151
64.0,"William IV Street, Strand",001028
628.0,"William Morris Way, Sands End",200062
30.0,"Windsor Terrace, Hoxton",001029
127.0,"Wood Street, Guildhall",001063
613.0,"Woodstock Grove, Shepherd's Bush",200214
106.0,"Woodstock Street, Mayfair",001042
649.0,"World's End Place, West Chelsea",300009
217.0,"Wormwood Street, Liverpool Street",002587
175.0,"Worship Street, Shoreditch",000997
433.0,"Wren Street, Holborn",022169
157.0,"Wright's Lane, Kensington",001094
829.0,"Wynne Road, Stockwell",300230
446.0,"York Hall, Bethnal Green",200042
836.0,"York Way, Kings Cross",300235
